assembly_id,contig_id,contig_len,plasmid_id,plasmid_name,strain,query_length,ref_length,overall_percent_identity,query_covered_length,ref_covered_length,covered_intervals,query_intervals,subject_hit_coords,query_coverage_percent,call_method
B418P,contig_1 [gcode=11] [topology=linear],902773,B379_chromosome_ParA_2,chromosome,B379,902773,380,99.4535519125683,1097,365,"[(1, 366)]","[(368276, 369373)]","[(1, 366)]",0.1215144892459123,pf32
B418P,contig_10 [gcode=11] [topology=linear],20530,RS06485_N40_N40_lp17_ParA_X,lp17,RS06485,20530,246,100.0,725,241,"[(1, 242)]","[(16972, 17697)]","[(1, 242)]",3.5314174378957626,pf32
B418P,contig_11 [gcode=11] [topology=linear],24215,RS00040_ZS7_ZS7_lp25_ParA_X,lp25,RS00040,24215,252,100.0,755,251,"[(1, 252)]","[(11910, 12665)]","[(1, 252)]",3.117902126780921,pf32
B418P,contig_12 [gcode=11] [topology=linear],29777,RS05185_N40_N40_lp28-2_ParA_X,lp28-2,RS05185,29777,255,100.0,764,254,"[(1, 255)]","[(6052, 6816)]","[(1, 255)]",2.5657386573529903,pf32
B418P,contig_13 [gcode=11] [topology=linear],30920,RS04755_29805_29805_lp28-3_ParA_X,lp28-3,RS04755,30920,251,100.0,752,250,"[(1, 251)]","[(8648, 9400)]","[(1, 251)]",2.4320827943078918,pf32
B418P,contig_14 [gcode=11] [topology=linear],29677,I21_B31_lp28-4_ParA_X,lp28-4,I21,29677,250,100.0,749,249,"[(1, 250)]","[(14246, 14995)]","[(1, 250)]",2.5238400107827608,pf32
B418P,contig_15 [gcode=11] [topology=linear],29290,RS06425_B331_B331_lp28_6_ParA_X,lp28-6,RS06425,29290,251,100.0,752,250,"[(1, 251)]","[(22966, 23718)]","[(1, 251)]",2.567429156708774,pf32
B418P,contig_16 [gcode=11] [topology=linear],31165,RS01335_MM1_plsm_lp36_ParA_X,lp36,RS01335,31165,249,100.0,728,242,"[(1, 243)]","[(10968, 11696)]","[(1, 243)]",2.335953794320552,pf32
B418P,contig_17 [gcode=11] [topology=linear],37889,RS05780_N40_N40_lp38_ParA_X,lp38,RS05780,37889,245,100.0,734,244,"[(1, 245)]","[(11295, 12029)]","[(1, 245)]",1.9372377207104965,pf32
B418P,contig_18 [gcode=11] [topology=linear],53805,A20_B31_lp54_ParA_X,lp54,A20,53805,250,100.0,749,249,"[(1, 250)]","[(13597, 14346)]","[(1, 250)]",1.3920639345785708,pf32
B418P,contig_2 [gcode=11] [topology=linear],26498,N40_cp26_ParA_1,cp26,N40,26498,253,100.0,758,252,"[(1, 253)]","[(1562, 2320)]","[(1, 253)]",2.86059325232093,pf32
B418P,contig_3 [gcode=11] [topology=linear],30154,RS06365_N40_N40_cp32-10_ParA_X,cp32-10,RS06365,30154,251,100.0,752,250,"[(1, 251)]","[(23230, 23982)]","[(1, 251)]",2.493864827220269,pf32
B418P,contig_4 [gcode=11] [topology=linear],27767,RS06035_N40_N40_cp32-12_ParA_X,cp32-12,RS06035,27767,260,100.0,779,259,"[(1, 260)]","[(16586, 17365)]","[(1, 260)]",2.805488529549465,pf32
B418P,contig_5 [gcode=11] [topology=linear],15915,RS02205_MM1_plsm_cp32-4_ParA_X,cp32-4,RS02205,15915,251,100.0,752,250,"[(1, 251)]","[(1349, 2101)]","[(1, 251)]",4.7251021049324535,pf32
B418P,contig_6 [gcode=11] [topology=linear],29615,RS01295_JD1_JD1_cp32-1+5_ParA_X,cp32-1+5,RS01295,29615,257,100.0,770,256,"[(1, 257)]","[(10569, 11339)]","[(1, 257)]",2.600033766672295,pf32
B418P,contig_7 [gcode=11] [topology=linear],17483,O32_B31_cp32-7_ParA_X,cp32-7,O32,17483,249,100.0,746,248,"[(1, 249)]","[(11520, 12266)]","[(1, 249)]",4.267002230738432,pf32
