Isolate,plasmid,presence,color
URI56H,lp38,lp38,#00fdcf
URI86H,lp38,lp38,#00fdcf
URI87H,lp38,lp38,#00fdcf
URI88H,lp38,lp38,#00fdcf
URI89H,lp38,lp38,#00fdcf
URI91H,lp38,lp38,#00fdcf
URI93H,lp38,lp38,#00fdcf
UWI247P,lp38,lp38,#00fdcf
UWI248P,lp38,lp38,#00fdcf
UWI263P,lp38,lp38,#00fdcf
ASM1913465v1,cp32-9,cp32-9,#afa5ff
ASM215146v1,cp32-9,cp32-9,#afa5ff
ASM215150v1,cp32-9,cp32-9,#afa5ff
ASM2466217v1,cp32-9,cp32-9,#afa5ff
ASM2466219v1,cp32-9,cp32-9,#afa5ff
ASM336729v1,cp32-9,cp32-9,#afa5ff
ASM4079074v1,cp32-9,cp32-9,#afa5ff
ASM4079075v1,cp32-9,cp32-9,#afa5ff
ASM4079076v1,cp32-9,cp32-9,#afa5ff
ASM4079077v1,cp32-9,cp32-9,#afa5ff
ASM4079080v1,cp32-9,cp32-9,#afa5ff
B418P,cp32-9,cp32-9,#afa5ff
ESI26H,cp32-9,cp32-9,#afa5ff
ESI403H,cp32-9,cp32-9,#afa5ff
ESI425H,cp32-9,cp32-9,#afa5ff
UCT109H,cp32-9,cp32-9,#afa5ff
UCT110H,cp32-9,cp32-9,#afa5ff
UCT113H,cp32-9,cp32-9,#afa5ff
UCT124H,cp32-9,cp32-9,#afa5ff
UCT29H,cp32-9,cp32-9,#afa5ff
UCT30H,cp32-9,cp32-9,#afa5ff
UCT31H,cp32-9,cp32-9,#afa5ff
UCT32H,cp32-9,cp32-9,#afa5ff
UCT50H,cp32-9,cp32-9,#afa5ff
UCT92H,cp32-9,cp32-9,#afa5ff
UCT96H,cp32-9,cp32-9,#afa5ff
UNY1032P,cp32-9,cp32-9,#afa5ff
UNY1038P,cp32-9,cp32-9,#afa5ff
UNY1083P,cp32-9,cp32-9,#afa5ff
UNY1085P,cp32-9,cp32-9,#afa5ff
UNY1128P,cp32-9,cp32-9,#afa5ff
UNY149P,cp32-9,cp32-9,#afa5ff
UNY169P,cp32-9,cp32-9,#afa5ff
UNY172P,cp32-9,cp32-9,#afa5ff
URI101H,cp32-9,cp32-9,#afa5ff
URI102H,cp32-9,cp32-9,#afa5ff
URI103H,cp32-9,cp32-9,#afa5ff
URI107H,cp32-9,cp32-9,#afa5ff
URI111H,cp32-9,cp32-9,#afa5ff
URI112H,cp32-9,cp32-9,#afa5ff
URI117H,cp32-9,cp32-9,#afa5ff
URI118H,cp32-9,cp32-9,#afa5ff
URI120H,cp32-9,cp32-9,#afa5ff
URI34H,cp32-9,cp32-9,#afa5ff
URI39H,cp32-9,cp32-9,#afa5ff
URI40H,cp32-9,cp32-9,#afa5ff
URI41H,cp32-9,cp32-9,#afa5ff
URI42H,cp32-9,cp32-9,#afa5ff
URI44H,cp32-9,cp32-9,#afa5ff
URI46H,cp32-9,cp32-9,#afa5ff
URI47H,cp32-9,cp32-9,#afa5ff
URI86H,cp32-9,cp32-9,#afa5ff
URI87H,cp32-9,cp32-9,#afa5ff
URI89H,cp32-9,cp32-9,#afa5ff
URI91H,cp32-9,cp32-9,#afa5ff
URI93H,cp32-9,cp32-9,#afa5ff
UWI263P,cp32-9,cp32-9,#afa5ff
UWI283P,cp32-9,cp32-9,#afa5ff
XYZ459H,cp32-9,cp32-9,#afa5ff
ASM2466215v1,cp32-6,cp32-6,#93ac83
ASM2466217v1,cp32-6,cp32-6,#93ac83
ASM2466219v1,cp32-6,cp32-6,#93ac83
ASM336729v1,cp32-6,cp32-6,#93ac83
ASM4079073v1,cp32-6,cp32-6,#93ac83
ASM4079076v1,cp32-6,cp32-6,#93ac83
ASM4079078v1,cp32-6,cp32-6,#93ac83
B331P,cp32-6,cp32-6,#93ac83
B500P,cp32-6,cp32-6,#93ac83
ESI26H,cp32-6,cp32-6,#93ac83
ESI403H,cp32-6,cp32-6,#93ac83
UCT109H,cp32-6,cp32-6,#93ac83
UCT110H,cp32-6,cp32-6,#93ac83
UCT124H,cp32-6,cp32-6,#93ac83
UCT29H,cp32-6,cp32-6,#93ac83
UCT30H,cp32-6,cp32-6,#93ac83
UCT31H,cp32-6,cp32-6,#93ac83
UCT32H,cp32-6,cp32-6,#93ac83
UCT92H,cp32-6,cp32-6,#93ac83
UCT96H,cp32-6,cp32-6,#93ac83
UNY1032P,cp32-6,cp32-6,#93ac83
UNY1038P,cp32-6,cp32-6,#93ac83
UNY1083P,cp32-6,cp32-6,#93ac83
UNY1128P,cp32-6,cp32-6,#93ac83
UNY149P,cp32-6,cp32-6,#93ac83
UNY193P,cp32-6,cp32-6,#93ac83
UNY203P,cp32-6,cp32-6,#93ac83
UNY990P,cp32-6,cp32-6,#93ac83
URI101H,cp32-6,cp32-6,#93ac83
URI103H,cp32-6,cp32-6,#93ac83
URI107H,cp32-6,cp32-6,#93ac83
URI111H,cp32-6,cp32-6,#93ac83
URI112H,cp32-6,cp32-6,#93ac83
URI117H,cp32-6,cp32-6,#93ac83
URI118H,cp32-6,cp32-6,#93ac83
URI120H,cp32-6,cp32-6,#93ac83
URI33H,cp32-6,cp32-6,#93ac83
URI34H,cp32-6,cp32-6,#93ac83
URI36H,cp32-6,cp32-6,#93ac83
URI39H,cp32-6,cp32-6,#93ac83
URI40H,cp32-6,cp32-6,#93ac83
URI41H,cp32-6,cp32-6,#93ac83
URI42H,cp32-6,cp32-6,#93ac83
URI44H,cp32-6,cp32-6,#93ac83
URI46H,cp32-6,cp32-6,#93ac83
URI47H,cp32-6,cp32-6,#93ac83
URI48H,cp32-6,cp32-6,#93ac83
URI56H,cp32-6,cp32-6,#93ac83
URI86H,cp32-6,cp32-6,#93ac83
URI87H,cp32-6,cp32-6,#93ac83
URI88H,cp32-6,cp32-6,#93ac83
URI89H,cp32-6,cp32-6,#93ac83
URI91H,cp32-6,cp32-6,#93ac83
UWI247P,cp32-6,cp32-6,#93ac83
UWI248P,cp32-6,cp32-6,#93ac83
UWI263P,cp32-6,cp32-6,#93ac83
XYZ459H,cp32-6,cp32-6,#93ac83
ASM2466215v1,cp32-11,cp32-11,#9a6900
ASM2466217v1,cp32-11,cp32-11,#9a6900
ASM4079071v1,cp32-11,cp32-11,#9a6900
ASM4079073v1,cp32-11,cp32-11,#9a6900
ASM4079079v1,cp32-11,cp32-11,#9a6900
B331P,cp32-11,cp32-11,#9a6900
B500P,cp32-11,cp32-11,#9a6900
ESI361H,cp32-11,cp32-11,#9a6900
ESI403H,cp32-11,cp32-11,#9a6900
UCT110H,cp32-11,cp32-11,#9a6900
UCT113H,cp32-11,cp32-11,#9a6900
UCT124H,cp32-11,cp32-11,#9a6900
UCT29H,cp32-11,cp32-11,#9a6900
UCT30H,cp32-11,cp32-11,#9a6900
UCT31H,cp32-11,cp32-11,#9a6900
UCT32H,cp32-11,cp32-11,#9a6900
UCT50H,cp32-11,cp32-11,#9a6900
UCT92H,cp32-11,cp32-11,#9a6900
UCT96H,cp32-11,cp32-11,#9a6900
UNY1032P,cp32-11,cp32-11,#9a6900
UNY1038P,cp32-11,cp32-11,#9a6900
UNY1083P,cp32-11,cp32-11,#9a6900
UNY1090P,cp32-11,cp32-11,#9a6900
UNY1128P,cp32-11,cp32-11,#9a6900
UNY149P,cp32-11,cp32-11,#9a6900
UNY208P,cp32-11,cp32-11,#9a6900
UNY990P,cp32-11,cp32-11,#9a6900
URI101H,cp32-11,cp32-11,#9a6900
URI103H,cp32-11,cp32-11,#9a6900
URI107H,cp32-11,cp32-11,#9a6900
URI111H,cp32-11,cp32-11,#9a6900
URI112H,cp32-11,cp32-11,#9a6900
URI117H,cp32-11,cp32-11,#9a6900
URI118H,cp32-11,cp32-11,#9a6900
URI120H,cp32-11,cp32-11,#9a6900
URI33H,cp32-11,cp32-11,#9a6900
URI36H,cp32-11,cp32-11,#9a6900
URI39H,cp32-11,cp32-11,#9a6900
URI40H,cp32-11,cp32-11,#9a6900
URI41H,cp32-11,cp32-11,#9a6900
URI42H,cp32-11,cp32-11,#9a6900
URI44H,cp32-11,cp32-11,#9a6900
URI46H,cp32-11,cp32-11,#9a6900
URI47H,cp32-11,cp32-11,#9a6900
URI48H,cp32-11,cp32-11,#9a6900
URI56H,cp32-11,cp32-11,#9a6900
URI86H,cp32-11,cp32-11,#9a6900
URI87H,cp32-11,cp32-11,#9a6900
URI88H,cp32-11,cp32-11,#9a6900
URI89H,cp32-11,cp32-11,#9a6900
URI91H,cp32-11,cp32-11,#9a6900
UWI247P,cp32-11,cp32-11,#9a6900
UWI248P,cp32-11,cp32-11,#9a6900
UWI263P,cp32-11,cp32-11,#9a6900
XYZ459H,cp32-11,cp32-11,#9a6900
ASM215148v1,lp28-1,lp28-1,#366962
ASM215150v1,lp28-1,lp28-1,#366962
ASM2466215v1,lp28-1,lp28-1,#366962
ASM2466219v1,lp28-1,lp28-1,#366962
ASM4079074v1,lp28-1,lp28-1,#366962
ASM4079079v1,lp28-1,lp28-1,#366962
ASM4079080v1,lp28-1,lp28-1,#366962
B331P,lp28-1,lp28-1,#366962
ESI403H,lp28-1,lp28-1,#366962
UCT109H,lp28-1,lp28-1,#366962
UCT110H,lp28-1,lp28-1,#366962
UCT113H,lp28-1,lp28-1,#366962
UCT124H,lp28-1,lp28-1,#366962
UCT29H,lp28-1,lp28-1,#366962
UCT30H,lp28-1,lp28-1,#366962
UCT31H,lp28-1,lp28-1,#366962
UCT32H,lp28-1,lp28-1,#366962
UCT35H,lp28-1,lp28-1,#366962
UCT92H,lp28-1,lp28-1,#366962
UCT96H,lp28-1,lp28-1,#366962
UNY1032P,lp28-1,lp28-1,#366962
UNY1038P,lp28-1,lp28-1,#366962
UNY1083P,lp28-1,lp28-1,#366962
UNY1090P,lp28-1,lp28-1,#366962
UNY1128P,lp28-1,lp28-1,#366962
UNY149P,lp28-1,lp28-1,#366962
UNY203P,lp28-1,lp28-1,#366962
UNY208P,lp28-1,lp28-1,#366962
UNY990P,lp28-1,lp28-1,#366962
URI101H,lp28-1,lp28-1,#366962
URI102H,lp28-1,lp28-1,#366962
URI103H,lp28-1,lp28-1,#366962
URI107H,lp28-1,lp28-1,#366962
URI111H,lp28-1,lp28-1,#366962
URI112H,lp28-1,lp28-1,#366962
URI117H,lp28-1,lp28-1,#366962
URI118H,lp28-1,lp28-1,#366962
URI120H,lp28-1,lp28-1,#366962
URI36H,lp28-1,lp28-1,#366962
URI39H,lp28-1,lp28-1,#366962
URI40H,lp28-1,lp28-1,#366962
URI41H,lp28-1,lp28-1,#366962
URI42H,lp28-1,lp28-1,#366962
URI44H,lp28-1,lp28-1,#366962
URI46H,lp28-1,lp28-1,#366962
URI47H,lp28-1,lp28-1,#366962
URI86H,lp28-1,lp28-1,#366962
URI87H,lp28-1,lp28-1,#366962
URI88H,lp28-1,lp28-1,#366962
URI89H,lp28-1,lp28-1,#366962
URI91H,lp28-1,lp28-1,#366962
URI93H,lp28-1,lp28-1,#366962
UWI247P,lp28-1,lp28-1,#366962
UWI248P,lp28-1,lp28-1,#366962
UWI263P,lp28-1,lp28-1,#366962
ASM215146v1,cp32-3,cp32-3,#d3008c
ASM215148v1,cp32-3,cp32-3,#d3008c
ASM215150v1,cp32-3,cp32-3,#d3008c
ASM2466217v1,cp32-3,cp32-3,#d3008c
ASM2466219v1,cp32-3,cp32-3,#d3008c
ASM4079073v1,cp32-3,cp32-3,#d3008c
ASM4079077v1,cp32-3,cp32-3,#d3008c
ASM4079079v1,cp32-3,cp32-3,#d3008c
ASM4079080v1,cp32-3,cp32-3,#d3008c
ESI26H,cp32-3,cp32-3,#d3008c
ESI403H,cp32-3,cp32-3,#d3008c
UCT109H,cp32-3,cp32-3,#d3008c
UCT110H,cp32-3,cp32-3,#d3008c
UCT124H,cp32-3,cp32-3,#d3008c
UCT29H,cp32-3,cp32-3,#d3008c
UCT30H,cp32-3,cp32-3,#d3008c
UCT31H,cp32-3,cp32-3,#d3008c
UCT32H,cp32-3,cp32-3,#d3008c
UCT92H,cp32-3,cp32-3,#d3008c
UCT96H,cp32-3,cp32-3,#d3008c
UNY1032P,cp32-3,cp32-3,#d3008c
UNY1083P,cp32-3,cp32-3,#d3008c
UNY1085P,cp32-3,cp32-3,#d3008c
UNY1090P,cp32-3,cp32-3,#d3008c
UNY1128P,cp32-3,cp32-3,#d3008c
UNY149P,cp32-3,cp32-3,#d3008c
UNY172P,cp32-3,cp32-3,#d3008c
UNY208P,cp32-3,cp32-3,#d3008c
URI101H,cp32-3,cp32-3,#d3008c
URI102H,cp32-3,cp32-3,#d3008c
URI103H,cp32-3,cp32-3,#d3008c
URI107H,cp32-3,cp32-3,#d3008c
URI112H,cp32-3,cp32-3,#d3008c
URI117H,cp32-3,cp32-3,#d3008c
URI118H,cp32-3,cp32-3,#d3008c
URI120H,cp32-3,cp32-3,#d3008c
URI39H,cp32-3,cp32-3,#d3008c
URI40H,cp32-3,cp32-3,#d3008c
URI42H,cp32-3,cp32-3,#d3008c
URI44H,cp32-3,cp32-3,#d3008c
URI46H,cp32-3,cp32-3,#d3008c
URI47H,cp32-3,cp32-3,#d3008c
URI56H,cp32-3,cp32-3,#d3008c
URI87H,cp32-3,cp32-3,#d3008c
URI88H,cp32-3,cp32-3,#d3008c
URI89H,cp32-3,cp32-3,#d3008c
URI91H,cp32-3,cp32-3,#d3008c
URI93H,cp32-3,cp32-3,#d3008c
UWI247P,cp32-3,cp32-3,#d3008c
UWI263P,cp32-3,cp32-3,#d3008c
UWI283P,cp32-3,cp32-3,#d3008c
XYZ459H,cp32-3,cp32-3,#d3008c
ASM1913465v1,cp32-1+5,cp32-1+5,#fdf490
ASM215146v1,cp32-1+5,cp32-1+5,#fdf490
ASM215148v1,cp32-1+5,cp32-1+5,#fdf490
ASM215150v1,cp32-1+5,cp32-1+5,#fdf490
ASM2466217v1,cp32-1+5,cp32-1+5,#fdf490
ASM336729v1,cp32-1+5,cp32-1+5,#fdf490
ASM4079074v1,cp32-1+5,cp32-1+5,#fdf490
ASM4079078v1,cp32-1+5,cp32-1+5,#fdf490
ASM4079080v1,cp32-1+5,cp32-1+5,#fdf490
B418P,cp32-1+5,cp32-1+5,#fdf490
ESI26H,cp32-1+5,cp32-1+5,#fdf490
ESI361H,cp32-1+5,cp32-1+5,#fdf490
ESI403H,cp32-1+5,cp32-1+5,#fdf490
ESI425H,cp32-1+5,cp32-1+5,#fdf490
PFhe_I_PB_Ill_cons,cp32-1+5,cp32-1+5,#fdf490
UCT110H,cp32-1+5,cp32-1+5,#fdf490
UCT29H,cp32-1+5,cp32-1+5,#fdf490
UCT30H,cp32-1+5,cp32-1+5,#fdf490
UCT31H,cp32-1+5,cp32-1+5,#fdf490
UCT32H,cp32-1+5,cp32-1+5,#fdf490
UCT50H,cp32-1+5,cp32-1+5,#fdf490
UCT92H,cp32-1+5,cp32-1+5,#fdf490
UNY1083P,cp32-1+5,cp32-1+5,#fdf490
UNY1085P,cp32-1+5,cp32-1+5,#fdf490
UNY1090P,cp32-1+5,cp32-1+5,#fdf490
UNY1128P,cp32-1+5,cp32-1+5,#fdf490
UNY149P,cp32-1+5,cp32-1+5,#fdf490
UNY169P,cp32-1+5,cp32-1+5,#fdf490
UNY172P,cp32-1+5,cp32-1+5,#fdf490
UNY208P,cp32-1+5,cp32-1+5,#fdf490
URI103H,cp32-1+5,cp32-1+5,#fdf490
URI111H,cp32-1+5,cp32-1+5,#fdf490
URI112H,cp32-1+5,cp32-1+5,#fdf490
URI117H,cp32-1+5,cp32-1+5,#fdf490
URI118H,cp32-1+5,cp32-1+5,#fdf490
URI33H,cp32-1+5,cp32-1+5,#fdf490
URI39H,cp32-1+5,cp32-1+5,#fdf490
URI40H,cp32-1+5,cp32-1+5,#fdf490
URI41H,cp32-1+5,cp32-1+5,#fdf490
URI42H,cp32-1+5,cp32-1+5,#fdf490
URI44H,cp32-1+5,cp32-1+5,#fdf490
URI46H,cp32-1+5,cp32-1+5,#fdf490
URI47H,cp32-1+5,cp32-1+5,#fdf490
URI48H,cp32-1+5,cp32-1+5,#fdf490
URI86H,cp32-1+5,cp32-1+5,#fdf490
URI88H,cp32-1+5,cp32-1+5,#fdf490
URI89H,cp32-1+5,cp32-1+5,#fdf490
URI91H,cp32-1+5,cp32-1+5,#fdf490
UWI263P,cp32-1+5,cp32-1+5,#fdf490
UWI283P,cp32-1+5,cp32-1+5,#fdf490
XYZ459H,cp32-1+5,cp32-1+5,#fdf490
ASM215146v1,cp32-4,cp32-4,#c86e66
ASM215148v1,cp32-4,cp32-4,#c86e66
ASM215150v1,cp32-4,cp32-4,#c86e66
ASM2466219v1,cp32-4,cp32-4,#c86e66
ASM336729v1,cp32-4,cp32-4,#c86e66
ASM4079074v1,cp32-4,cp32-4,#c86e66
ASM4079076v1,cp32-4,cp32-4,#c86e66
ASM4079077v1,cp32-4,cp32-4,#c86e66
ASM4079080v1,cp32-4,cp32-4,#c86e66
B331P,cp32-4,cp32-4,#c86e66
B418P,cp32-4,cp32-4,#c86e66
B500P,cp32-4,cp32-4,#c86e66
ESI361H,cp32-4,cp32-4,#c86e66
UCT109H,cp32-4,cp32-4,#c86e66
UCT124H,cp32-4,cp32-4,#c86e66
UCT29H,cp32-4,cp32-4,#c86e66
UCT31H,cp32-4,cp32-4,#c86e66
UCT50H,cp32-4,cp32-4,#c86e66
UCT96H,cp32-4,cp32-4,#c86e66
UNY1032P,cp32-4,cp32-4,#c86e66
UNY1085P,cp32-4,cp32-4,#c86e66
UNY169P,cp32-4,cp32-4,#c86e66
UNY172P,cp32-4,cp32-4,#c86e66
URI101H,cp32-4,cp32-4,#c86e66
URI102H,cp32-4,cp32-4,#c86e66
URI107H,cp32-4,cp32-4,#c86e66
URI111H,cp32-4,cp32-4,#c86e66
URI120H,cp32-4,cp32-4,#c86e66
URI36H,cp32-4,cp32-4,#c86e66
URI39H,cp32-4,cp32-4,#c86e66
URI40H,cp32-4,cp32-4,#c86e66
URI41H,cp32-4,cp32-4,#c86e66
URI42H,cp32-4,cp32-4,#c86e66
URI87H,cp32-4,cp32-4,#c86e66
URI89H,cp32-4,cp32-4,#c86e66
URI91H,cp32-4,cp32-4,#c86e66
URI93H,cp32-4,cp32-4,#c86e66
UWI283P,cp32-4,cp32-4,#c86e66
XYZ459H,cp32-4,cp32-4,#c86e66
ASM2466217v1,cp32-12,cp32-12,#9ee2ff
ASM4079074v1,cp32-12,cp32-12,#9ee2ff
B418P,cp32-12,cp32-12,#9ee2ff
ESI403H,cp32-12,cp32-12,#9ee2ff
PFhe_I_PB_Ill_cons,cp32-12,cp32-12,#9ee2ff
UCT110H,cp32-12,cp32-12,#9ee2ff
UCT113H,cp32-12,cp32-12,#9ee2ff
UCT30H,cp32-12,cp32-12,#9ee2ff
UCT32H,cp32-12,cp32-12,#9ee2ff
UCT35H,cp32-12,cp32-12,#9ee2ff
UCT50H,cp32-12,cp32-12,#9ee2ff
UCT92H,cp32-12,cp32-12,#9ee2ff
UNY1038P,cp32-12,cp32-12,#9ee2ff
UNY1083P,cp32-12,cp32-12,#9ee2ff
UNY1085P,cp32-12,cp32-12,#9ee2ff
UNY1090P,cp32-12,cp32-12,#9ee2ff
UNY1128P,cp32-12,cp32-12,#9ee2ff
UNY169P,cp32-12,cp32-12,#9ee2ff
UNY172P,cp32-12,cp32-12,#9ee2ff
UNY193P,cp32-12,cp32-12,#9ee2ff
UNY203P,cp32-12,cp32-12,#9ee2ff
UNY208P,cp32-12,cp32-12,#9ee2ff
URI103H,cp32-12,cp32-12,#9ee2ff
URI112H,cp32-12,cp32-12,#9ee2ff
URI117H,cp32-12,cp32-12,#9ee2ff
URI118H,cp32-12,cp32-12,#9ee2ff
URI120H,cp32-12,cp32-12,#9ee2ff
URI34H,cp32-12,cp32-12,#9ee2ff
URI40H,cp32-12,cp32-12,#9ee2ff
URI42H,cp32-12,cp32-12,#9ee2ff
URI44H,cp32-12,cp32-12,#9ee2ff
URI46H,cp32-12,cp32-12,#9ee2ff
URI47H,cp32-12,cp32-12,#9ee2ff
URI86H,cp32-12,cp32-12,#9ee2ff
URI88H,cp32-12,cp32-12,#9ee2ff
UWI248P,cp32-12,cp32-12,#9ee2ff
UWI283P,cp32-12,cp32-12,#9ee2ff
XYZ459H,cp32-12,cp32-12,#9ee2ff
ASM1913465v1,lp56,lp56,#00c846
ASM215146v1,lp56,lp56,#00c846
ASM215148v1,lp56,lp56,#00c846
ASM215150v1,lp56,lp56,#00c846
ASM2466215v1,lp56,lp56,#00c846
ASM2466219v1,lp56,lp56,#00c846
ASM4079077v1,lp56,lp56,#00c846
ASM4079078v1,lp56,lp56,#00c846
B331P,lp56,lp56,#00c846
B500P,lp56,lp56,#00c846
ESI361H,lp56,lp56,#00c846
ESI425H,lp56,lp56,#00c846
UCT109H,lp56,lp56,#00c846
UCT29H,lp56,lp56,#00c846
UCT31H,lp56,lp56,#00c846
UNY1032P,lp56,lp56,#00c846
UNY1083P,lp56,lp56,#00c846
UNY1128P,lp56,lp56,#00c846
UNY990P,lp56,lp56,#00c846
URI101H,lp56,lp56,#00c846
URI102H,lp56,lp56,#00c846
URI107H,lp56,lp56,#00c846
URI111H,lp56,lp56,#00c846
URI120H,lp56,lp56,#00c846
URI33H,lp56,lp56,#00c846
URI36H,lp56,lp56,#00c846
URI39H,lp56,lp56,#00c846
URI40H,lp56,lp56,#00c846
URI41H,lp56,lp56,#00c846
URI42H,lp56,lp56,#00c846
URI48H,lp56,lp56,#00c846
URI56H,lp56,lp56,#00c846
URI87H,lp56,lp56,#00c846
URI89H,lp56,lp56,#00c846
URI91H,lp56,lp56,#00c846
URI93H,lp56,lp56,#00c846
UWI263P,lp56,lp56,#00c846
ASM2466215v1,lp28-6,lp28-6,#a877ac
ASM2466217v1,lp28-6,lp28-6,#a877ac
ASM4079071v1,lp28-6,lp28-6,#a877ac
ASM4079073v1,lp28-6,lp28-6,#a877ac
ASM4079076v1,lp28-6,lp28-6,#a877ac
ASM4079078v1,lp28-6,lp28-6,#a877ac
ASM4079079v1,lp28-6,lp28-6,#a877ac
B331P,lp28-6,lp28-6,#a877ac
B418P,lp28-6,lp28-6,#a877ac
B500P,lp28-6,lp28-6,#a877ac
UCT110H,lp28-6,lp28-6,#a877ac
UCT113H,lp28-6,lp28-6,#a877ac
UCT124H,lp28-6,lp28-6,#a877ac
UCT30H,lp28-6,lp28-6,#a877ac
UCT32H,lp28-6,lp28-6,#a877ac
UCT92H,lp28-6,lp28-6,#a877ac
UNY1038P,lp28-6,lp28-6,#a877ac
UNY1083P,lp28-6,lp28-6,#a877ac
UNY1085P,lp28-6,lp28-6,#a877ac
UNY1090P,lp28-6,lp28-6,#a877ac
UNY1128P,lp28-6,lp28-6,#a877ac
UNY149P,lp28-6,lp28-6,#a877ac
UNY193P,lp28-6,lp28-6,#a877ac
UNY203P,lp28-6,lp28-6,#a877ac
UNY208P,lp28-6,lp28-6,#a877ac
URI103H,lp28-6,lp28-6,#a877ac
URI112H,lp28-6,lp28-6,#a877ac
URI117H,lp28-6,lp28-6,#a877ac
URI118H,lp28-6,lp28-6,#a877ac
URI34H,lp28-6,lp28-6,#a877ac
URI36H,lp28-6,lp28-6,#a877ac
URI44H,lp28-6,lp28-6,#a877ac
URI46H,lp28-6,lp28-6,#a877ac
URI47H,lp28-6,lp28-6,#a877ac
URI56H,lp28-6,lp28-6,#a877ac
URI86H,lp28-6,lp28-6,#a877ac
URI88H,lp28-6,lp28-6,#a877ac
ASM2466215v1,cp32-8,cp32-8,#b8ba01
ASM2466219v1,cp32-8,cp32-8,#b8ba01
ASM4079071v1,cp32-8,cp32-8,#b8ba01
ASM4079073v1,cp32-8,cp32-8,#b8ba01
ASM4079075v1,cp32-8,cp32-8,#b8ba01
ASM4079077v1,cp32-8,cp32-8,#b8ba01
B331P,cp32-8,cp32-8,#b8ba01
B500P,cp32-8,cp32-8,#b8ba01
UCT110H,cp32-8,cp32-8,#b8ba01
UCT124H,cp32-8,cp32-8,#b8ba01
UCT30H,cp32-8,cp32-8,#b8ba01
UCT32H,cp32-8,cp32-8,#b8ba01
UCT92H,cp32-8,cp32-8,#b8ba01
UCT96H,cp32-8,cp32-8,#b8ba01
UNY1083P,cp32-8,cp32-8,#b8ba01
UNY1090P,cp32-8,cp32-8,#b8ba01
UNY1128P,cp32-8,cp32-8,#b8ba01
UNY208P,cp32-8,cp32-8,#b8ba01
UNY990P,cp32-8,cp32-8,#b8ba01
URI112H,cp32-8,cp32-8,#b8ba01
URI118H,cp32-8,cp32-8,#b8ba01
URI120H,cp32-8,cp32-8,#b8ba01
URI33H,cp32-8,cp32-8,#b8ba01
URI36H,cp32-8,cp32-8,#b8ba01
URI39H,cp32-8,cp32-8,#b8ba01
URI40H,cp32-8,cp32-8,#b8ba01
URI42H,cp32-8,cp32-8,#b8ba01
URI44H,cp32-8,cp32-8,#b8ba01
URI47H,cp32-8,cp32-8,#b8ba01
URI48H,cp32-8,cp32-8,#b8ba01
URI56H,cp32-8,cp32-8,#b8ba01
URI86H,cp32-8,cp32-8,#b8ba01
URI88H,cp32-8,cp32-8,#b8ba01
URI89H,cp32-8,cp32-8,#b8ba01
URI91H,cp32-8,cp32-8,#b8ba01
UWI263P,cp32-8,cp32-8,#b8ba01
ASM2466219v1,lp28-2,lp28-2,#f4bfb1
ASM4079074v1,lp28-2,lp28-2,#f4bfb1
ASM4079075v1,lp28-2,lp28-2,#f4bfb1
ASM4079077v1,lp28-2,lp28-2,#f4bfb1
ASM4079080v1,lp28-2,lp28-2,#f4bfb1
B418P,lp28-2,lp28-2,#f4bfb1
ESI403H,lp28-2,lp28-2,#f4bfb1
PFhe_I_PB_Ill_cons,lp28-2,lp28-2,#f4bfb1
UCT109H,lp28-2,lp28-2,#f4bfb1
UCT124H,lp28-2,lp28-2,#f4bfb1
UCT29H,lp28-2,lp28-2,#f4bfb1
UCT31H,lp28-2,lp28-2,#f4bfb1
UCT50H,lp28-2,lp28-2,#f4bfb1
UCT96H,lp28-2,lp28-2,#f4bfb1
UNY1032P,lp28-2,lp28-2,#f4bfb1
UNY1085P,lp28-2,lp28-2,#f4bfb1
UNY169P,lp28-2,lp28-2,#f4bfb1
UNY172P,lp28-2,lp28-2,#f4bfb1
UNY193P,lp28-2,lp28-2,#f4bfb1
URI101H,lp28-2,lp28-2,#f4bfb1
URI102H,lp28-2,lp28-2,#f4bfb1
URI107H,lp28-2,lp28-2,#f4bfb1
URI111H,lp28-2,lp28-2,#f4bfb1
URI120H,lp28-2,lp28-2,#f4bfb1
URI34H,lp28-2,lp28-2,#f4bfb1
URI39H,lp28-2,lp28-2,#f4bfb1
URI40H,lp28-2,lp28-2,#f4bfb1
URI41H,lp28-2,lp28-2,#f4bfb1
URI42H,lp28-2,lp28-2,#f4bfb1
URI87H,lp28-2,lp28-2,#f4bfb1
URI89H,lp28-2,lp28-2,#f4bfb1
URI91H,lp28-2,lp28-2,#f4bfb1
URI93H,lp28-2,lp28-2,#f4bfb1
UWI283P,lp28-2,lp28-2,#f4bfb1
XYZ459H,lp28-2,lp28-2,#f4bfb1
ASM215146v1,cp32-1,cp32-1,#ff28fd
ASM2466219v1,cp32-1,cp32-1,#ff28fd
ASM336729v1,cp32-1,cp32-1,#ff28fd
ASM4079073v1,cp32-1,cp32-1,#ff28fd
ASM4079075v1,cp32-1,cp32-1,#ff28fd
ASM4079076v1,cp32-1,cp32-1,#ff28fd
ASM4079078v1,cp32-1,cp32-1,#ff28fd
ESI26H,cp32-1,cp32-1,#ff28fd
ESI403H,cp32-1,cp32-1,#ff28fd
UCT124H,cp32-1,cp32-1,#ff28fd
UCT29H,cp32-1,cp32-1,#ff28fd
UCT31H,cp32-1,cp32-1,#ff28fd
