Isolate,plasmid,presence,color
ASM336729v1,lp17,lp17,#b500ff
ASM4079071v1,lp17,lp17,#b500ff
ASM4079073v1,lp17,lp17,#b500ff
ASM4079074v1,lp17,lp17,#b500ff
ASM4079075v1,lp17,lp17,#b500ff
ASM4079076v1,lp17,lp17,#b500ff
ASM4079077v1,lp17,lp17,#b500ff
ASM4079078v1,lp17,lp17,#b500ff
ASM4079079v1,lp17,lp17,#b500ff
ASM4079080v1,lp17,lp17,#b500ff
B331P,lp17,lp17,#b500ff
B418P,lp17,lp17,#b500ff
B500P,lp17,lp17,#b500ff
ESI26H,lp17,lp17,#b500ff
ESI361H,lp17,lp17,#b500ff
ESI403H,lp17,lp17,#b500ff
ESI425H,lp17,lp17,#b500ff
PFhe_I_PB_Ill_cons,lp17,lp17,#b500ff
UCT109H,lp17,lp17,#b500ff
UCT110H,lp17,lp17,#b500ff
UCT113H,lp17,lp17,#b500ff
UCT124H,lp17,lp17,#b500ff
UCT29H,lp17,lp17,#b500ff
UCT30H,lp17,lp17,#b500ff
UCT31H,lp17,lp17,#b500ff
UCT32H,lp17,lp17,#b500ff
UCT35H,lp17,lp17,#b500ff
UCT50H,lp17,lp17,#b500ff
UCT96H,lp17,lp17,#b500ff
UNY1032P,lp17,lp17,#b500ff
UNY1038P,lp17,lp17,#b500ff
UNY1083P,lp17,lp17,#b500ff
UNY1085P,lp17,lp17,#b500ff
UNY1090P,lp17,lp17,#b500ff
UNY1128P,lp17,lp17,#b500ff
UNY149P,lp17,lp17,#b500ff
UNY169P,lp17,lp17,#b500ff
UNY172P,lp17,lp17,#b500ff
UNY193P,lp17,lp17,#b500ff
UNY203P,lp17,lp17,#b500ff
UNY208P,lp17,lp17,#b500ff
UNY990P,lp17,lp17,#b500ff
URI101H,lp17,lp17,#b500ff
URI102H,lp17,lp17,#b500ff
URI103H,lp17,lp17,#b500ff
URI107H,lp17,lp17,#b500ff
URI111H,lp17,lp17,#b500ff
URI112H,lp17,lp17,#b500ff
URI117H,lp17,lp17,#b500ff
URI118H,lp17,lp17,#b500ff
URI120H,lp17,lp17,#b500ff
URI33H,lp17,lp17,#b500ff
URI34H,lp17,lp17,#b500ff
URI36H,lp17,lp17,#b500ff
URI39H,lp17,lp17,#b500ff
URI40H,lp17,lp17,#b500ff
URI42H,lp17,lp17,#b500ff
URI44H,lp17,lp17,#b500ff
URI46H,lp17,lp17,#b500ff
URI47H,lp17,lp17,#b500ff
URI48H,lp17,lp17,#b500ff
URI56H,lp17,lp17,#b500ff
URI86H,lp17,lp17,#b500ff
URI87H,lp17,lp17,#b500ff
URI88H,lp17,lp17,#b500ff
URI89H,lp17,lp17,#b500ff
URI91H,lp17,lp17,#b500ff
URI93H,lp17,lp17,#b500ff
UWI247P,lp17,lp17,#b500ff
UWI248P,lp17,lp17,#b500ff
UWI263P,lp17,lp17,#b500ff
UWI283P,lp17,lp17,#b500ff
XYZ459H,lp17,lp17,#b500ff
ASM1913465v1,lp36,lp36,#05acc6
ASM215146v1,lp36,lp36,#05acc6
ASM215148v1,lp36,lp36,#05acc6
ASM215150v1,lp36,lp36,#05acc6
ASM2466215v1,lp36,lp36,#05acc6
ASM2466217v1,lp36,lp36,#05acc6
ASM2466219v1,lp36,lp36,#05acc6
ASM336729v1,lp36,lp36,#05acc6
ASM4079071v1,lp36,lp36,#05acc6
ASM4079073v1,lp36,lp36,#05acc6
ASM4079074v1,lp36,lp36,#05acc6
ASM4079075v1,lp36,lp36,#05acc6
ASM4079076v1,lp36,lp36,#05acc6
ASM4079077v1,lp36,lp36,#05acc6
ASM4079078v1,lp36,lp36,#05acc6
